"mapruleid","shortname","network","allowedservergeo","excludedserverGeo"
"2825","ch325","freeflow","",""
"2826","ch326","freeflow","",""
"2827","ch327","freeflow","",""
"2828","ch328","freeflow","",""
"2829","ch329","freeflow","",""
"2830","ch330","freeflow","",""
"2831","ch331","freeflow","",""
"2832","ch332","freeflow","",""
"2833","ch333","freeflow","",""
"2834","ch334","freeflow","",""
"2835","ch335","freeflow","",""
"2836","ch336","freeflow","",""
"2837","ch337","freeflow","",""
"2838","ch338","freeflow","",""
"2839","ch339","freeflow","",""
"2860","ch360","freeflow","",""
"2861","ch361","freeflow","",""
"2862","ch362","freeflow","",""
"2863","ch363","freeflow","",""
"2864","ch364","freeflow","",""
"2865","ch365","freeflow","",""
"2866","ch366","freeflow","",""
"2867","ch367","freeflow","",""
"2868","ch368","freeflow","",""
"2869","ch369","freeflow","",""
"2870","ch370","freeflow","",""
"2871","ch371","freeflow","",""
"2872","ch372","freeflow","",""
"2873","ch373","freeflow","",""
"2874","ch374","freeflow","",""
"2875","ch375","freeflow","",""
"2876","ch376","freeflow","",""
"2877","ch377","freeflow","",""
"2878","ch378","freeflow","",""
"2879","ch379","freeflow","",""
"2880","ch380","freeflow","",""
"2881","ch381","freeflow","",""
"2882","ch382","freeflow","",""
"2883","ch383","freeflow","",""
"2884","ch384","freeflow","",""
"2885","ch385","freeflow","",""
"2886","ch386","freeflow","",""
"2887","ch387","freeflow","",""
"2888","ch388","freeflow","",""
"2889","ch389","freeflow","",""
"2890","ch390","freeflow","",""
"2891","ch391","freeflow","",""
"2892","ch392","freeflow","",""
"2893","ch393","freeflow","",""
"2894","ch394","freeflow","",""
"2895","ch395","freeflow","",""
"2896","ch396","freeflow","",""
"2897","ch397","freeflow","",""
"2898","ch398","freeflow","",""
"2899","ch399","freeflow","",""
"2900","ch400","freeflow","",""
"2901","w1","freeflow","",""
"2902","w2","freeflow","",""
"2903","w3","freeflow","",""
"2904","w4","freeflow","EU",""
"2905","w5","freeflow","",""
"2906","w6","freeflow","",""
"2907","w7","freeflow","",""
"2908","w8","freeflow","",""
"2909","w9","freeflow","",""
"2910","w10","freeflow","",""
"2911","w11","freeflow","","RU"
"2912","w12","freeflow","",""
"2913","w13","freeflow","","RU"
"2914","w14","freeflow","",""
"2916","w16","freeflow","",""
"2917","w17","freeflow","",""
"2919","w19","freeflow","",""
"2921","w21","freeflow","",""
"2922","w22","freeflow","",""
"2923","w23","freeflow","",""
"2925","w25","freeflow","",""
"2927","w27","freeflow","",""
"2928","w28","freeflow","","DIS_EXCL"
"2929","w29","freeflow","EU",""
"2930","w30","freeflow","",""
"2931","w31","freeflow","",""
"2932","w32","freeflow","",""
"2934","w34","freeflow","",""
"2935","w35","freeflow","",""
"2937","w37","freeflow","",""
"2938","w38","freeflow","","TW"
"2939","w39","freeflow","",""
"2940","w40","freeflow","",""
"2941","w41","freeflow","",""
"2942","w42","freeflow","",""
"2943","w43","freeflow","",""
"2944","w44","freeflow","","RU"
"2945","w45","freeflow","","RU"
